customer_id,contact_id,contact_category,direction,start_date,end_date
2092325,276904815,mail,in,21/09/2011,21/09/2011
2092325,399162136,Back office,out,4/01/2012,4/01/2012
2092325,2926116238,E-mail,out,15/03/2012,15/03/2012
2092325,1650737503,Web,in,25/06/2012,25/06/2012
18348,2489716752,E-mail,in,11/09/2012,11/09/2012
18348,676515013,Back office,out,27/01/2013,27/01/2013
18348,2967815195,Back office,out,29/01/2013,29/01/2013
18348,2348584085,E-mail,in,13/02/2013,13/02/2013
18348,1018167478,mail,out,19/02/2013,19/02/2013
18348,1581698336,mail,out,19/03/2013,19/03/2013
18348,1787664066,sms,in,2/03/2013,2/03/2013
18348,123152277,Phone,out,25/10/2013,25/10/2013
18348,1908176603,Back office,out,9/02/2014,9/02/2014
18348,1858276301,Back office,out,25/02/2014,25/02/2014
2260128,252642243,E-mail,out,12/11/2012,12/11/2012
2260128,1485334514,sms,out,23/12/2012,23/12/2012
2260128,1319021460,E-mail,in,2/11/2013,2/11/2013
2260128,201552733,mail,in,16/11/2013,16/11/2013
2111262,2683564556,Phone,out,20/03/2013,20/03/2013
2116008,526070140,Phone,in,23/11/2012,23/11/2012
2116008,1998509076,Back office,in,7/12/2012,7/12/2012
2116008,483199022,sms,in,19/01/2013,19/01/2013
2116008,2998200395,Web,in,15/01/2013,15/01/2013
2116008,2978881509,Back office,out,4/02/2013,4/02/2013
2116008,1442523067,Web,in,11/03/2013,11/03/2013
2116008,252336350,E-mail,in,31/07/2013,31/07/2013
2116008,503565349,Phone,out,13/10/2013,13/10/2013
2116008,2734939543,Web,in,16/04/2014,15/04/2014
1918851,1628741270,E-mail,in,3/08/2011,3/08/2011
1918851,1999507224,Web,in,18/12/2011,18/12/2011
1918851,2960979217,sms,out,9/03/2012,9/03/2012
1918851,289949587,E-mail,out,1/08/2012,1/08/2012
1918851,1826611581,mail,in,16/07/2012,16/07/2012
1918851,2802767569,Back office,in,1/12/2013,30/11/2013
1829457,439604573,sms,in,27/12/2011,27/12/2011
1829457,1964132973,Web,out,17/03/2013,17/03/2013
2061861,2708129384,sms,out,14/06/2011,6/06/2011
2061861,940335536,Web,out,11/06/2011,11/06/2011
2061861,2004125621,Back office,out,27/06/2011,27/06/2011
2061861,2244089523,Web,out,20/11/2011,20/11/2011
2061861,231194946,Web,out,8/08/2012,8/08/2012
2061861,2041187937,Phone,in,13/09/2013,13/09/2013
2061861,132405285,mail,in,6/09/2013,6/09/2013
2061861,1515365064,Web,in,4/11/2013,4/11/2013
2061861,1777052235,Web,out,18/11/2013,18/11/2013
2061861,522581399,sms,out,26/10/2013,25/10/2013
2061861,1204780057,Back office,in,11/12/2013,11/12/2013
2061861,206710322,E-mail,out,9/12/2013,9/12/2013
2061861,2300590489,Phone,out,6/12/2013,6/12/2013
2061861,1544440069,mail,out,21/03/2014,21/03/2014
542733,236998838,mail,in,30/10/2011,30/10/2011
542733,1280043250,Phone,out,5/12/2011,5/12/2011
542733,2046206044,mail,out,31/10/2012,31/10/2012
542733,2329742182,E-mail,out,8/05/2013,8/05/2013
542733,2582239802,Back office,out,5/12/2013,4/12/2013
1281623,2187674144,Back office,out,23/06/2011,23/06/2011
1281623,1828056855,Phone,out,28/07/2011,28/07/2011
1281623,1176716751,sms,in,19/02/2012,19/02/2012
1281623,607037439,E-mail,in,16/05/2012,16/05/2012
1281623,2710041774,Back office,in,10/12/2013,10/12/2013
1281623,1488947319,sms,out,22/11/2013,22/11/2013
1281623,999025536,E-mail,out,4/12/2013,4/12/2013
1281623,366972611,Phone,out,1/01/2014,1/01/2014
1281623,2766385258,sms,in,24/02/2014,23/02/2014
3607132,2166580180,Phone,in,21/01/2012,21/01/2012
3607132,835669182,Web,out,31/01/2012,31/01/2012
3607132,1706696577,Web,in,26/05/2012,26/05/2012
3516064,1827525974,Web,in,12/06/2011,12/06/2011
3516064,1764164901,mail,out,4/12/2011,4/12/2011
3516064,2018552351,E-mail,out,12/12/2011,12/12/2011
3516064,1488120619,Web,out,18/12/2013,17/12/2013
1047758,2334329630,sms,in,21/08/2011,21/08/2011
1047758,1575289726,Phone,out,7/08/2012,7/08/2012
1047758,2926393515,mail,in,27/11/2012,27/11/2012
1047758,2930261615,Back office,out,5/12/2012,5/12/2012
1047758,527944702,mail,in,26/04/2013,26/04/2013
954361,803023119,E-mail,out,5/12/2011,5/12/2011
954361,2934577127,Back office,in,23/02/2012,23/02/2012
954361,2517775775,Web,out,14/03/2014,14/03/2014
116723,2697413590,Back office,out,2/07/2011,2/07/2011
116723,1754811477,Phone,in,19/08/2013,18/08/2013
116723,248035529,Phone,out,19/12/2013,19/12/2013
2352486,225791160,Web,in,3/07/2011,3/07/2011
2352486,23937919,mail,in,29/12/2011,29/12/2011
2352486,294347519,mail,in,2/03/2012,2/03/2012
2352486,956676760,E-mail,out,2/04/2013,2/04/2013
2352486,2878366925,sms,out,1/07/2013,30/06/2013
2352486,482865096,E-mail,out,2/10/2013,1/10/2013
