Date,M1-1:00,M1-2:00,M1-3:00,M1-4:00,M1-5:00,M1-6:00,M1-7:00,M1-8:00,M1-9:00,M1-10:00,M1-11:00,M1-12:00,M1-13:00,M1-14:00,M1-15:00,M1-16:00,M1-17:00,M1-18:00,M1-19:00,M1-20:00,M1-21:00,M1-22:00,M1-23:00,M1-24:00,M2-1:00,M2-2:00,M2-3:00,M2-4:00,M2-5:00,M2-6:00,M2-7:00,M2-8:00,M2-9:00,M2-10:00,M2-11:00,M2-12:00,M2-13:00,M2-14:00,M2-15:00,M2-16:00,M2-17:00,M2-18:00,M2-19:00,M2-20:00,M2-21:00,M2-22:00,M2-23:00,M2-24:00
1/01/2012,3.333236119,2.481949143,3.863299365,3.24492617,3.692794593,3.363132869,3.460117102,3.906261119,2.340451211,3.580826135,3.624626955,2.878200857,2.353836324,3.27295598,2.759105339,2.059096185,2.617716273,2.241149656,1.945159115,2.238246924,2.374295078,2.271809592,2.39532721,1.954744037,19.50089471,15.1775849,20.75389447,25.42561699,19.37833017,17.47966214,18.0469378,15.01685827,16.1682531,19.57188468,16.42769001,13.99191613,11.18915289,18.71187381,14.86982087,12.10927573,10.78979847,8.818019464,8.858643494,11.04374055,12.4344896,9.026028811,16.12623173,14.71179344
2/01/2012,2.316337813,3.045245644,3.829876862,4.38906009,3.744004816,3.540368262,2.233906682,2.31391456,3.58855077,3.54841827,2.955647998,2.092043189,3.606345198,1.90212634,3.026713996,2.125379302,2.4857235,2.442718771,2.092502316,1.600734002,1.873737202,2.035626241,2.059824823,1.829883008,17.77570015,17.38310988,21.10229786,24.63086389,20.83926243,16.63894992,15.86826342,12.93559002,15.17945209,12.11331972,19.54348862,18.77772761,12.7414561,15.23533139,15.80812064,12.61517081,13.01659675,14.33668851,12.01232055,11.73517989,12.38512051,10.08857557,14.16834181,18.95204655
3/01/2012,2.193764528,3.044066331,3.87087157,3.609068669,2.952694853,3.145018478,3.500863285,3.859412287,3.779715327,3.366924796,2.956859774,2.818361007,2.094245407,3.342784413,2.204201056,2.407252571,2.087171845,2.49813711,2.477671357,1.390616782,2.160862702,1.897659377,1.96834026,2.087726471,21.57093861,17.48684231,20.20321629,21.37237763,22.36883995,23.49449816,13.62418986,16.3086608,16.82925008,15.32448437,17.49427178,16.00674556,15.69497164,11.16967966,11.80325011,13.94770063,15.61301856,12.6588698,12.9335192,13.69802123,11.02960011,14.78764426,12.53993364,12.49231943
4/01/2012,2.185706345,3.860478506,2.703244778,4.04976272,2.750463515,3.715887136,2.593180446,2.538702462,2.933061383,2.799037053,2.928259353,3.251560282,3.382606123,2.938636454,2.859667538,2.290969431,3.067132646,2.430304015,2.521123,2.199010742,1.605581698,2.220782919,1.654529227,1.723393955,11.44282797,18.15990098,16.75193547,16.50634578,18.32321821,14.77719758,17.60715639,11.51017413,12.97981323,9.74989035,18.21484704,19.10171836,12.81419523,17.81963157,15.74925946,9.843967199,13.47372825,12.45691638,8.662667955,11.68760773,15.29915858,10.75206691,14.08077567,13.78315734
5/01/2012,2.854132867,2.01594222,2.591010942,3.451984776,3.813614218,3.453222104,3.451548991,1.969627129,3.00399099,2.610360346,2.616002138,2.649523436,3.222260864,2.923370821,2.781613536,2.437496719,1.847089024,2.271188014,2.045511202,2.506412472,1.742578565,2.481065833,1.943128066,2.372990847,12.37440067,14.00156542,11.8319666,17.69902392,15.58157508,13.74862687,11.53151049,12.78094171,10.33164044,15.55301071,14.25668858,18.14885056,15.9340204,10.61879139,13.96464649,13.27227537,9.625312179,10.97311781,11.63976051,12.15707867,9.227847401,13.06300234,14.60089042,17.86160318
6/01/2012,3.047622097,3.080513619,3.128053837,3.630761955,4.39927665,4.37994779,3.959856859,3.522845406,3.572681283,3.878649023,2.922921127,2.975672578,2.458552095,2.406214505,1.884277147,2.660759692,2.54720373,2.3374038,1.391135011,2.191870514,1.923515379,1.991847005,2.517083212,2.719894415,18.08570284,27.16719934,25.44977567,28.75265399,18.54640398,18.88642977,23.64448902,15.46290504,13.78010078,22.77106428,19.49337547,16.88193869,12.88732737,11.0675134,16.81978789,15.81040934,15.90233651,10.18135994,14.23702033,11.12382644,10.34404041,10.69498421,12.0568616,13.24467834
7/01/2012,2.362068308,4.829972736,5.06855832,3.518779807,3.562079795,2.954756527,2.764672473,2.830721484,2.282802532,2.251758754,3.928321654,3.636721168,2.471287727,2.695766707,2.351114516,2.309110328,2.505095156,1.845561912,1.428799781,1.775903972,2.563184521,1.76161778,2.594574109,2.454474779,23.25722684,28.74150302,23.97848775,24.77187742,20.32572208,27.06933595,19.95571247,20.44262028,16.35551558,22.3767707,22.77801874,20.57183485,18.721033,13.0320559,13.30156308,16.08859656,14.231416,14.34432463,13.04632253,14.62569788,10.12930076,11.24689863,11.21797811,14.4071959
8/01/2012,4.226494146,2.911594885,4.852665256,3.417775244,3.660994952,3.819252295,3.076510251,2.627090368,3.699176613,2.753124164,2.553112855,2.385716155,2.652070051,3.001928056,2.220005961,2.545658808,2.63147214,2.104373274,1.418154653,2.12730931,2.397439869,2.347456559,2.32222178,2.694567146,16.15998056,26.71524526,29.80139752,19.74869583,21.41211042,24.22307891,23.55738859,20.91406158,15.32454259,14.65953644,18.31581532,19.20371376,10.94869504,17.91422054,12.24221721,12.87585747,15.04054172,11.64126538,10.4115895,12.22630128,12.31448453,10.31552281,16.69613253,18.54704906
9/01/2012,4.081780505,3.264328002,4.516523738,4.169197967,3.3076615,2.93946297,3.803613424,2.703265382,3.32818451,3.879193163,3.813037912,2.91970418,3.635173374,2.513373539,2.890577853,2.996517287,2.06787256,2.463578665,1.580028075,1.87504877,1.607856577,2.203478211,2.192955977,2.552525205,17.71133786,26.07316999,20.9906591,28.71637678,26.87218939,25.94643491,15.07099939,24.05465812,20.89196088,23.15397337,19.64184719,16.612896,14.50220535,12.97366138,12.00702241,12.76644038,10.57007832,14.73241829,11.66054026,9.160506309,12.30230848,11.6087787,15.28389466,15.5541328
10/01/2012,3.685904096,3.595886251,3.838129175,4.650930968,2.808806577,3.703682414,3.186672965,4.26803518,2.29998334,2.727085271,3.059422088,3.562567608,3.241127216,2.570825153,3.302905062,1.938118152,2.903166776,2.092241368,2.5818792,1.388063457,1.560169889,2.270319914,1.849203343,2.35218981,18.18425639,17.87768975,26.41641684,20.97742796,18.9168118,22.34821298,14.82556345,14.45661199,14.27366334,15.37470109,14.11398582,19.78917289,12.09083649,18.12094227,12.55990844,14.24447215,11.34344321,12.37483453,14.32454135,8.548403742,8.45256371,13.08232877,13.63037894,11.046396
