customer_id,statement_id,sector_activity,statement_category,start_date_index,end_date_index,KWH_consumption,unity
18348,75,Electricity,Estimated Gas Distributor,28/5/11,5/8/11,79,KWH
18348,561,Electricity,Distributor correction,17/8/11,23/9/11,107,KWH
18348,891,Electricity,Estimated Electricity Distributor,20/9/11,29/11/11,218,KWH
18348,1315,Electricity,Statement by the distributor,30/11/11,31/1/12,342,KWH
18348,1768,Electricity,Self-identified by the client,2/2/12,23/3/12,290,KWH
18348,2143,Electricity,Self-identified by the client,24/3/12,6/6/12,230,KWH
18348,2566,Electricity,Estimated Gas Distributor,22/5/12,6/8/12,134,KWH
18348,3026,Electricity,Distributor correction,9/8/12,21/9/12,133,KWH
18348,3388,Electricity,Distributor correction,21/9/12,7/12/12,258,KWH
18348,3806,Electricity,Self-identified by the client,10/12/12,4/2/13,273,KWH
18348,4244,Electricity,Estimated Gas Distributor,11/2/13,30/3/13,251,KWH
18348,4601,Electricity,Self-identified by the client,7/4/13,31/5/13,244,KWH
18348,4978,Electricity,Distributor correction,9/6/13,9/8/13,199,KWH
18348,5421,Electricity,Estimated Electricity Distributor,8/8/13,3/10/13,180,KWH
18348,5819,Electricity,Statement by the distributor,24/9/13,28/11/13,219,KWH
18348,6190,Electricity,Statement by the distributor,19/11/13,5/2/14,256,KWH
18348,6523,Electricity,Estimated Electricity Distributor,23/1/14,10/4/14,224,KWH
18348,562,Natural Gas,Estimated Gas Distributor,16/8/11,3/2/12,5590,KWH
18348,1760,Natural Gas,Estimated Gas Distributor,6/2/12,1/8/12,5785,KWH
18348,3009,Natural Gas,Estimated Electricity Distributor,26/7/12,26/1/13,8783,KWH
18348,4250,Natural Gas,Self-identified by the client,11/2/13,3/8/13,5671,KWH
18348,5425,Natural Gas,Distributor correction,24/7/13,26/1/14,6391,KWH
116723,493,Electricity,Self-identified by the client,17/7/11,17/9/11,148,KWH
116723,875,Electricity,Distributor correction,24/9/11,20/11/11,241,KWH
116723,1279,Electricity,Estimated Electricity Distributor,14/11/11,2/2/12,353,KWH
116723,4565,Electricity,Estimated Electricity Distributor,1/4/13,22/5/13,295,KWH
116723,5408,Electricity,Distributor correction,16/7/13,26/9/13,152,KWH
116723,879,Natural Gas,Estimated Gas Distributor,22/9/11,19/3/12,12412,KWH
116723,2128,Natural Gas,Distributor correction,1/4/12,26/9/12,2264,KWH
116723,3361,Natural Gas,Self-identified by the client,2/10/12,29/3/13,13351,KWH
542733,101,Electricity,Estimated Electricity Distributor,8/6/11,10/8/11,75,KWH
542733,548,Electricity,Distributor correction,26/7/11,5/10/11,192,KWH
542733,964,Electricity,Distributor correction,6/10/11,10/12/11,150,KWH
542733,1345,Electricity,Estimated Gas Distributor,30/11/11,2/2/12,157,KWH
